port_code,latitude,longitude,ATA_lat,ATA_long,ATA,ATB_lat,ATB_long,ATB,ATD_lat,ATD_long,ATD
CNYAN,30.653,122.02011,30.65229,122.0202,2022-07-02 22:35:37 Z,30.65309,122.02008,2022-07-02 22:40:29 Z,30.6531,122.02001,2022-07-03 23:20:31 Z
CNNGB,29.98679,121.84006,29.98658,121.83996,2022-07-04 23:55:52 Z,29.98688,121.8401,2022-07-05 00:00:03 Z,29.98685,121.83972,2022-07-06 16:11:02 Z
TWKHH,22.54697,120.32542,22.54713,120.32551,2022-07-08 04:05:07 Z,22.54711,120.32545,2022-07-08 04:10:06 Z,22.54744,120.32574,2022-07-09 03:16:34 Z
CNCWN,22.48529,113.86769,22.48526,113.86755,2022-07-10 07:40:07 Z,22.48539,113.86766,2022-07-10 07:49:58 Z,22.48562,113.86702,2022-07-11 08:44:03 Z
SGBKM,1.27336,103.7849,1.24526,103.78273,2022-07-15 18:10:02 Z,1.27343,103.78489,2022-07-15 19:45:02 Z,1.27193,103.78283,2022-07-16 23:45:03 Z
GRDPA,37.9554,23.58594,37.89924,23.60459,2022-07-31 17:40:27 Z,37.95449,23.58647,2022-07-31 19:10:34 Z,37.95291,23.58732,2022-08-01 19:05:46 Z
ITMUT,44.41855,8.78483,44.18715,8.85146,2022-08-05 10:35:38 Z,44.41879,8.78501,2022-08-06 04:00:27 Z,44.41652,8.78158,2022-08-09 11:10:33 Z
ITSPE,44.10561,9.84646,43.96778,9.89742,2022-08-09 17:50:31 Z,44.10575,9.8466,2022-08-13 22:35:26 Z,44.09705,9.84377,2022-08-17 03:00:30 Z
FRPSL,43.41209833,4.84389167,43.41295,4.8484,2022-08-18 03:30:31 Z,43.41226,4.84382,2022-08-18 04:00:38 Z,43.41290333,4.84426,2022-08-21 01:45:41 Z
ESBCN,41.34966167,2.16906667,41.27786833,2.26636,2022-08-22 00:30:13 Z,41.34785,2.168365,2022-08-22 02:05:33 Z,41.34403667,2.16494167,2022-08-23 16:35:21 Z
